username,display_name,rule_text,signature,samples,skip_rate,purity,score,signature_user_count,universal_rule,idiosyncratic_rule
alanjzamora,Alan,artist_personal_skip_rate <= 0.0000 AND session_skip_rate_so_far <= 0.1837 AND days_since_artist_last_played <= 299.9387 AND reason_start_appload <= 0.5000 AND session_position > 1.5000 AND session_position > 2.5000,artist_personal_skip_rate <= <t> AND session_skip_rate_so_far <= <t> AND days_since_artist_last_played <= <t> AND reason_start_appload <= <t> AND session_position > <t> AND session_position > <t>,165234,2.402456027838862e-05,0.9999759754397216,165230.03032580696,1,False,True
alanjzamora,Alan,artist_personal_skip_rate > 0.0000 AND reason_start_trackdone <= 0.5000 AND ms_played_pct <= 3.8825 AND ms_played_pct <= 0.9596 AND artist_personal_skip_rate <= 0.1502 AND reason_start_fwdbtn > 0.5000,artist_personal_skip_rate > <t> AND reason_start_trackdone <= <t> AND ms_played_pct <= <t> AND ms_played_pct <= <t> AND artist_personal_skip_rate <= <t> AND reason_start_fwdbtn > <t>,36640,0.9995628429553157,0.9995628429553157,36623.98256588277,1,False,True
alanjzamora,Alan,artist_personal_skip_rate > 0.0000 AND reason_start_trackdone <= 0.5000 AND ms_played_pct <= 3.8825 AND ms_played_pct > 0.9596 AND artist_personal_skip_rate <= 0.2499 AND session_skip_rate_so_far > 0.5108,artist_personal_skip_rate > <t> AND reason_start_trackdone <= <t> AND ms_played_pct <= <t> AND ms_played_pct > <t> AND artist_personal_skip_rate <= <t> AND session_skip_rate_so_far > <t>,23812,0.9952433309947675,0.9952433309947675,23698.7341976474,1,False,True
alanjzamora,Alan,artist_personal_skip_rate > 0.0000 AND reason_start_trackdone <= 0.5000 AND ms_played_pct <= 3.8825 AND ms_played_pct <= 0.9596 AND artist_personal_skip_rate > 0.1502 AND session_skip_rate_so_far > 0.7593,artist_personal_skip_rate > <t> AND reason_start_trackdone <= <t> AND ms_played_pct <= <t> AND ms_played_pct <= <t> AND artist_personal_skip_rate > <t> AND session_skip_rate_so_far > <t>,22875,0.9978243536420557,0.9978243536420557,22825.232089562025,1,False,True
alanjzamora,Alan,artist_personal_skip_rate > 0.0000 AND reason_start_trackdone <= 0.5000 AND ms_played_pct > 3.8825 AND days_since_artist_last_played > 0.0010 AND reason_start_clickrow > 0.5000 AND session_skip_rate_so_far > 0.8425,artist_personal_skip_rate > <t> AND reason_start_trackdone <= <t> AND ms_played_pct > <t> AND days_since_artist_last_played > <t> AND reason_start_clickrow > <t> AND session_skip_rate_so_far > <t>,21744,0.9832939589625466,0.9832939589625466,21380.743843681612,1,False,True
alexxxxxrs,Alexandra,session_skip_rate_so_far > 0.0414 AND ms_played_pct <= 0.8403 AND ms_played_pct <= 0.7314 AND ms_played_pct <= 0.4890,session_skip_rate_so_far > <t> AND ms_played_pct <= <t> AND ms_played_pct <= <t> AND ms_played_pct <= <t>,42620,0.9951844269940181,0.9951844269940181,42414.76027848505,1,False,True
alexxxxxrs,Alexandra,session_skip_rate_so_far <= 0.0414 AND session_position > 2.5000 AND artist_personal_skip_rate <= 0.0277 AND session_position > 6.5000,session_skip_rate_so_far <= <t> AND session_position > <t> AND artist_personal_skip_rate <= <t> AND session_position > <t>,24997,0.0020224042760674027,0.9979775957239326,24946.445960311143,1,False,True
alexxxxxrs,Alexandra,session_skip_rate_so_far <= 0.0414 AND session_position > 2.5000 AND artist_personal_skip_rate > 0.0277 AND session_position > 5.5000,session_skip_rate_so_far <= <t> AND session_position > <t> AND artist_personal_skip_rate > <t> AND session_position > <t>,9930,0.07000296783694886,0.9299970321630512,9234.870529379099,1,False,True
alexxxxxrs,Alexandra,session_skip_rate_so_far <= 0.0414 AND session_position > 2.5000 AND artist_personal_skip_rate <= 0.0277 AND session_position <= 6.5000,session_skip_rate_so_far <= <t> AND session_position > <t> AND artist_personal_skip_rate <= <t> AND session_position <= <t>,9258,0.0395911651909827,0.9604088348090173,8891.464992661882,1,False,True
alexxxxxrs,Alexandra,session_skip_rate_so_far <= 0.0414 AND session_position <= 2.5000 AND artist_personal_skip_rate > 0.0184 AND ms_played_pct <= 0.8590,session_skip_rate_so_far <= <t> AND session_position <= <t> AND artist_personal_skip_rate > <t> AND ms_played_pct <= <t>,6243,0.8127611487658956,0.8127611487658956,5074.067851745486,1,False,True
dasucc,Anthony,session_skip_rate_so_far <= 0.1464 AND artist_personal_skip_rate <= 0.0025 AND session_position > 1.5000 AND reason_start_remote <= 0.5000 AND month=11 <= 0.5000 AND month=10 <= 0.5000,session_skip_rate_so_far <= <t> AND artist_personal_skip_rate <= <t> AND session_position > <t> AND reason_start_remote <= <t> AND month=<t> <= <t> AND month=<t> <= <t>,17337,0.00039727972729307624,0.9996027202727069,17330.11236136792,1,False,True
dasucc,Anthony,session_skip_rate_so_far > 0.1464 AND ms_played_pct <= 1.7263 AND reason_start_fwdbtn > 0.5000 AND ms_played_pct <= 0.9626 AND ms_played_pct <= 0.6029 AND session_skip_rate_so_far > 0.2554,session_skip_rate_so_far > <t> AND ms_played_pct <= <t> AND reason_start_fwdbtn > <t> AND ms_played_pct <= <t> AND ms_played_pct <= <t> AND session_skip_rate_so_far > <t>,11817,0.9995826319905858,0.9995826319905858,11812.067962232753,1,False,True
dasucc,Anthony,session_skip_rate_so_far > 0.1464 AND ms_played_pct <= 1.7263 AND reason_start_fwdbtn > 0.5000 AND ms_played_pct <= 0.9626 AND ms_played_pct > 0.6029 AND artist_personal_skip_rate > 0.0228,session_skip_rate_so_far > <t> AND ms_played_pct <= <t> AND reason_start_fwdbtn > <t> AND ms_played_pct <= <t> AND ms_played_pct > <t> AND artist_personal_skip_rate > <t>,2406,0.9970711201715252,0.9970711201715252,2398.9531151326896,1,False,True
dasucc,Anthony,session_skip_rate_so_far <= 0.1464 AND artist_personal_skip_rate <= 0.0025 AND session_position > 1.5000 AND reason_start_remote <= 0.5000 AND month=11 <= 0.5000 AND month=10 > 0.5000,session_skip_rate_so_far <= <t> AND artist_personal_skip_rate <= <t> AND session_position > <t> AND reason_start_remote <= <t> AND month=<t> <= <t> AND month=<t> > <t>,1681,0.0071723860575916235,0.9928276139424084,1668.9432190371886,1,False,True
dasucc,Anthony,session_skip_rate_so_far > 0.1464 AND ms_played_pct <= 1.7263 AND reason_start_fwdbtn > 0.5000 AND ms_played_pct > 0.9626 AND artist_personal_skip_rate > 0.1477 AND month=11 <= 0.5000,session_skip_rate_so_far > <t> AND ms_played_pct <= <t> AND reason_start_fwdbtn > <t> AND ms_played_pct > <t> AND artist_personal_skip_rate > <t> AND month=<t> <= <t>,1412,0.9850346141718113,0.9850346141718113,1390.8688752105975,1,False,True
korenns,Koren,session_skip_rate_so_far <= 0.0775 AND artist_personal_skip_rate <= 0.1498 AND is_session_opening <= 0.5000 AND session_skip_rate_so_far <= 0.0089 AND session_position > 2.5000 AND artist_personal_skip_rate <= 0.0827,session_skip_rate_so_far <= <t> AND artist_personal_skip_rate <= <t> AND is_session_opening <= <t> AND session_skip_rate_so_far <= <t> AND session_position > <t> AND artist_personal_skip_rate <= <t>,60907,0.0006664955092321018,0.9993335044907679,60866.405758019195,1,False,True
korenns,Koren,session_skip_rate_so_far > 0.0775 AND ms_played_pct <= 0.9838 AND session_skip_rate_so_far > 0.2466 AND reason_start_fwdbtn > 0.5000 AND ms_played_pct <= 0.8948 AND ms_played_pct <= 0.3202,session_skip_rate_so_far > <t> AND ms_played_pct <= <t> AND session_skip_rate_so_far > <t> AND reason_start_fwdbtn > <t> AND ms_played_pct <= <t> AND ms_played_pct <= <t>,33154,0.999484964184237,0.999484964184237,33136.924502564194,1,False,True
